EPA_organisation_identifier,EPA_organisation,Organisation_type,Website_link,Contact_address1,Contact_address2,Contact_address3,Contact_address4,Contact_postcode,UKPRN,,
EPA0001,"BCS, The Chartered Institute for IT",Professional body,http://www.bcs.org/,"BCS, The Chartered Institute for IT","Block D, North Star House",North Star Avenue,Swindon,SN2 1FA,10022712,,
EPA0002,British Institute of Facilities Management,Professional body,http://www.bifm.org.uk/bifm/Qualifications/apprenticeships,Number One Building,The Causeway,Bishop's Stortford,Herts,CM23 2ER,10029857,,
EPA0003,BINDT,Professional body,http://www.bindt.org/,Midsummer House,Riverside Way,Bedford Road,Northampton,NN1 5NX ,-,,
EPA0004,BT PLC,Employer or trade body,http://www.bt.com,"TA120, Admin Building","Yarnfield Park, Yarnfield",Stone,Staffordshire,ST15 0NLÊ,10025729,,
EPA0005,Chartered Institute of Credit Management,Professional body,http://qualifications.cicm.com/,The Water Mill,Station Road,South Luffenham,Oakham,LE15 8NB,10055891,,
EPA0006,Chartered Institute of Housing,Professional body,http://www.cih.org/,Chartered Institute of Housing,Octavia House,Westwood Way,Coventry,CV4 8JP,10001328,,
EPA0007,The Chartered Institute of Legal Executives (CILEx),Awarding Organisation,http://www.cilex.org.uk/,Kempston Manor,Kempston,,Bedford,MK42 7AB,10038999,,
EPA0008,City and Guilds,Awarding Organisation,http://www.cityandguilds.com/ ,1 Giltspur Street,, ,London,EC1A 9DD,10009931,,
EPA0009,Energy & Utilities Independent Assessment Service,Sector Skills Council,http://www.eeias.co.uk/independent-end-point-assessment-trailblazer-apprenticeship-standards ,Friars Gate,1011 Stratford Road,Shirley,Solihull,B90 4BN,10009688,,
EPA0010,EAL,Awarding Organisation,http://eal.org.uk/,"Unit 2, The Orient Centre",Greycaine Road,Watford,Herts,WD24 7GP,10022677,,
EPA0011,FDQ Ltd,Awarding Organisation,http://www.fdq.org.uk/ ,Pure Offices,4100 Park Approach,Thorpe Park,Leeds,LS15 8GB,10022682,,
EPA0012,Leicester College,Training Provider,https://leicestercollege.ac.uk/ ,Freemen's Park Campus,Aylestone Road,,Leicester,LE2 7LW,10003867,,
EPA0013,NCTJ Training,Awarding Organisation,http://www.nctj.com/ ,The New Granary,Station Road,Newport,Essex,CB11 3PL,10020431,,
EPA0014,NOCN,Awarding Organisation,http://www.nocn.org.uk/,The Quadrant,Parkway Business Centre,99 Parkway Avenue,Sheffield,S9 4WG,10022697,,
EPA0016,Pearson Education Limited,Awarding Organisation,http://uk.pearson.com/further-education.html,Pearson Work Based Learning & Colleges,190 High Holborn,,London,WC1V 7BH,10022490,,
EPA0017,Royal Institution of Chartered Surveyors,Professional body,http://www.rics.org/uk/,Parliament Square,,,London,SW1P 3AD,10014111,,
EPA0018,The Pensions Management Institute,Professional body,https://www.pensions-pmi.org.uk/home/,"Floor 20, Tower 42",25 Old Broad Street ,,London,EC2N 1 HQ,10022717,,
EPA0019,Training 2000 Ltd,Training Provider,http://www.training2000.co.uk/, Furthergate Business Park, Harwood Street,,Blackburn,BB1 3BD,10006987,,
EPA0021,University of Bradford,Higher Education Institution,,University of Bradford,Richmond Road,,Bradford,BD7 1DP,10007785,,
EPA0022,Innovate Awarding Limited,Awarding Organisation,https://www.innovateawarding.org/,Wainbrook House,Hudds Vale Road,,Bristol,BS5 7HY,10030507,,
EPA0023,The Institute of the Motor Industry,Awarding Organisation,https://www.theimi.org.uk/standards_and_Qualifications/apprenticeship/apprenticeship-programmes,Fanshaws,Brickendon,,Hertford,SG13 8PQ,10022714,,
EPA0024,Babcock Assessments Ltd,Assessment Organisation,https://www.babcockinternational.com/en/What-We-Do/Training/Vocational-and-Apprenticeship-Training/Employers/End-Point-Assessment,65 Scarisbrick New Road,,Southport,Merseyside,PR8 6LF,10002809,,
EPA0025,Chartered Institute of Procurement and Supply,Awarding Organisation,https://www.cips.org/careers/apprenticeships-in-procurement/#tabs-5,Easton House,Church Street,Easton on the Hill,Stamford,PE9 3NZ,10001331,,
EPA0026,Chartered Management Institute,Professional body,http://www.managers.org.uk/management-apprenticeships,3rd floor,77 Kingsway,,London,WC2B 6SR,10001333,,
EPA0027,NET,Other,http://www.netservices.org.uk/am2/,CAN Mezzanine,49-51 East Road,,London,N1 6AH,10054568,,
EPA0028,Science Industry Assessment Service,Assessment Organisation,http://www.siasuk.com/resources/,Unit 5 Mandarin Court,Centre Park,,Warrington,WA1 1GG,10049534,,
EPA0029,Chartered Banker Institute,Professional body,http://www.charteredbanker.com/qualifications/apprenticeships.html,Drumsheugh House,38b Drumsheugh Gardens,,Edinburgh,EH3 7SW,-,,
EPA0030,University of Exeter,Higher Education Institution,http://www.exeter.ac.uk/undergraduate/degrees/computerscience/digital-technology-apprenticeship/,Hope Hall Room 1.06,Prince of Wales Road,,Exeter,EX4 4PL,10007792,,
EPA0031,The Association of Accounting Technicians,Awarding Organisation,https://www.aat.org.uk/epadeliverymodel,140 Aldersgate Street,,,London,EC1A 4HY,10022663,,
EPA0032,Adalta Development Ltd,Training Provider,http://www.adaltamanagementapprenticeships.co.uk/,10 Oak Gates,Egerton,,Bolton,BL7 9TQ,10043865,,
EPA0033,NCFE/CACHE,Awarding Organisation,https://www.ncfe.org.uk/apprenticeships/apprenticeship-standards/,Q6 Quorum Business Park,Benton Lane,,Newcastle upon Tyne,NE12 8BT,10009696,,
EPA0034,VQ Solutions Ltd,Training Provider,http://vqsolutions.co.uk/assessment-centre/,Osborne House,20 Victoria Avenue,,Harrogate,HG1 5QY,10022405,,
EPA0035,The Maritime and Coastguard Agency,Other,"https://www.gov.uk/guidance/uk-seafarer-careers-training-provision-and-information

",Maritime & Coastguard Agency Spring Place ,105 Commercial Road ,Southampton,Hampshire,SO15 1EG,-,,
EPA0036,BESA Training,Employer or trade body,https://www.thebesa.com/,Old Mansion House,Eamont Bridge,Penrith,Cumbria,CA10 2BX,10054451,,
EPA0037,ProQual AB,Awarding Organisation,http://www.proqualab.com/end-point-assessment/ ,"ProQual AB, ProQual House",Annie Med Lane,,South Cave,HU15 2HG,10036649,,
EPA0038,Association of Chartered Certified Accountants ,Professional body,http://www.accaglobal.com/uk/en/employer/recruit-acca-accounting-technician-apprentices/who-can-offer-an-apprenticeship-in-england-wales-and-scotland/acca-accountancy-apprenticeships-in-england/acca-apprenticeship-training-and-assessment-in-england.html,The Adelphi,1-11 John Adam Street,,London,WC2N 6AU,10010201,,
EPA0039,BIIAB,Awarding Organisation,https://www.biiab.org/apprenticeships/apprenticeships-standards-and-epa/,BIIAB,Infor House,1 Lakeside Road,Farnborough,GU14 6XP,10036631,,
EPA0040,The Centre for Housing and Support (part of The Cornwall College Group),Training Provider,https://moodle.chs.ac.uk ,The Centre for Housing and Support,Kirkham House,John Comyn Drive,Worcester,WR3 7NS,10001696,,
EPA0041,DSW Consulting,Training Provider,http://dswapprenticeships.co.uk/,"DSW Consulting, DSW House","Unit 3, Hayfield Business Park
Field Lane",Auckley,Doncaster,DN9 3FL,10024089,,
EPA0042,Highfield Awarding Body for Compliance (HABC),Awarding Organisation,https://www.highfieldassessment.com/,Highfield House,Heavens Walk,Doncaster,South Yorkshire,DN45 5HZ,10030505,,
EPA0044,The Colleges' Partnership Ltd,Training Provider, ,14b Sunrise Business Park,Higher Shaftesbury Road,Blandford Forum,Dorset,DT11 8ST,10020932,,
EPA0045,Occupational Awards Limited,Awarding Organisation,http://www.oawards.co.uk/,The Catalyst,Baird Lane,Heslington,York,YO10 5GA,10052758,,
EPA0046,Management Focus,Training Provider,http://www.managementfocus.co.uk/,88 Crawford Street,,,London,W1H 2EJ,10045166,,
EPA0047,QFI,Awarding Organisation,http://qfi.org.uk/,93 George Street,,,Edinburgh,EH2 3ES,10058072,,
EPA0048,South West Councils,Training Provider,,Dennett House,11 Middle Street,Taunton,Somerset,TA1 1SH,10056777,,
EPA0049,TWI Certification Ltd,Other,http://www.cswip.com/,Granta Park,Great Abington,,Cambridge,CB21 6AL,10007089,,
EPA0050,ICAEW,Professional body,http://www.icaew.com/en/learning-and-development/higher-apprenticeships/accountancy-trailblazer,Chartered Accountants Hall,Moorgate Place,,London,EC2R 6EA,10023923,,
EPA0051,NSAN,Other,https://www.nsan.co.uk/nsan-epao ,National Skills Academy for Nuclear,9 Europe Way,Cockermouth,Cumbria,CA13 0RJ,10026575,,
EPA0052,Scottish Qualifications Authority (SQA),Awarding Organisation,https://www.sqa.org.uk/sqa/78313.html,Optima building,58 Robertson Street,,Glasgow,G2 8DQ,10038755,,
EPA0053,Active IQ,Awarding Organisation,https://www.activeiq.co.uk/employers/end-point-assessment-apprenticeship-standards/,Westminster House,Ermine Business Park,,Huntingdon,PE29 6XY,10022661,,
EPA0054,Skillsfirst Assess,Sector Skills Council,http://skillsfirst.co.uk/end-point-assessment,416 Fort Dunlop,Fort parkway,,Birmingham,B24 9FD,10030276,,
EPA0055,The Institution of Engineering and Technology,Professional body,https://www.theiet.org/membership/career/cmanager/index.cfm,Michael Faraday House,Six Hills Way,,Stevenage,SG1 2AY,10012815,,
EPA0056,cHRysos HR Solutions Ltd,Training Provider,https://www.chrysos.org.uk/apprenticeship-end-point-assessment,Room LN21,Armstrong House,First Avenue,Doncaster,DN9 3GA,10024320,,
EPA0057,Future (Awards and Qualifications) Ltd,Awarding Organisation,http://futurequals.com/,EMP House,Telford Way,,Coalville,LE67 3HE,10022681,,
EPA0058,iCQ,Awarding Organisation,https://icanqualify.net/,4th Floor,Salt Quay House,Sutton Harbour,Plymouth,PL4 0HP,10030009,,
EPA0059,IRSE Enterprises Ltd,Professional body,http://www.irselicensing.org,4th Floor,1 Birdcage Walk,,London,SW1H 9JJ,-,,
EPA0060,Institution of Mechanical Engineers,Professional body,http://www.imeche.org/membership-registration/become-a-member/engineering-technician,1 Birdcage Walk,,,London ,SW1H 9JJ,10046538,,
EPA0061,Training Qualifications UK,Sector Skills Council,http://www.tquk.org/what-we-do/apprenticeships,84 Liverpool Road,Cadishead,,Manchester,M44 5AN,10043783,,
EPA0062,The Army Catering Trust,Training Provider,,"CPD Centre, Food Services Wing","Alexis Hoyer House
",Worthy Down,"Hampshire
",SO21 2RG,10061404,,
EPA0063,Liverpool John Moores University,Higher Education Institution,https://www.ljmu.ac.uk/study/courses/undergraduates/2017/digital-and-technology-solutions-degree-apprenticeship,Cherie Booth Building,Byrom Street,Liverpool ,Merseyside,L3 3AF,10003957,,
EPA0064,AIM Awards,Awarding Organisation,http://www.aimawards.org.uk/centres/aim-awards-end-point-assessment-organisation/,3 Pride Point Drive,Pride Park,,Derby,DE24 8BX,10032760,,
EPA0065,Aston University,Higher Education Institution,,Aston Triangle,,,Birmingham,B4 7ET,10007759,,
EPA0066,Institute of Certified Bookkeepers,Professional body,http://www.bookkeepers.org.uk/study--qualifications/apprenticeships,122-126 Tooley Street, ,,London,SE1 2TU,-,,
EPA0067,SSL Assessment Services Partnership ,Training Provider,http://www.sslasp.com,White Rose House,81 b/c High Street,Ware,Herts,SG12 9AD,10047301,,
EPA0068,APMG-International,Professional body,,Sword House,Totteridge Road,High Wycombe,Bucks,HP13 6DG,-,,
EPA0069,VTCT,Awarding Organisation,https://www.vtct.org.uk/Apprenticeships/,Aspire House,Annealing Close,,Eastleigh,SO50 9PX,10022592,,
EPA0070,Association of Taxation Technicians,Professional body,https://www.att.org.uk/our-qualifications/att-trailblazer-apprenticeship,1st Floor,11-19 Artillery Row,,London ,SW1P 1RT, -,,
EPA0071,Manpower Services Ltd ,Training Provider,,Capital Court,Windsor Street,,Uxbridge,UB8 1AB,10004193,,
EPA0072,GP Strategies Assessment Services,Training Provider,http://www.gpsta.co.uk/employers/our-offer/Ourapprenticeshipoffer.php,Floor 6a,Kingsgate,Wellington Road,Stockport,SK4 1LW,10036952,,
EPA0073,Lantra Awards,Awarding Organisation,https://www.lantra.co.uk/apprenticeship/end-point-assessment,Lantra House,Stoneleigh Park,,Coventry,CV8 2LG,10022695,,
EPA0074,DiVA Apprenticeships Ltd,Training Provider,http://www.divaapprenticeships.com/,Unit 221 Stratford Workshops,Burford Road, ,London,E15 2SP,10038829,,
EPA0075,Anglia Ruskin University,Higher Education Institution,http://www.anglia.ac.uk/study/degree-apprenticeships/digital-and-technology-solutions ,Bishop Hall Lane,Chelmsford,,Essex,CM1 1SQ,10000291,,
EPA0076,Leeds Beckett University,Higher Education Institution,http://www.leedsbeckett.ac.uk/degreeapprenticeships/,City Campus,,,Leeds,LS1 3HB,10003861,,
EPA0077,Smart Awards ,Awarding Organisation,http://www.smartawards.co.uk/, Beechwood House,Tanners Lane,Berkswell,Coventry,CV7 7DA,10049123,,
EPA0078,University of Sunderland ,Higher Education Institution,http://www.opportunities-online.sunderland.ac.uk/modcat-noflash/detail.jsp?myMOD_CODE=CET330,Enterprise & Innovation,3rd Floor,"Edinburgh Building, City Campus, Chester Road",Sunderland,SR1 3SD,10007159,,
EPA0079,Instructus,Training Provider,http://www.instructus.org/epa/,Unit 3,Cherry Hall Road,North Kettering Park,Kettering,NN14 1UE,10036355,,
EPA0080,Institution of Civil Engineers,Professional body,https://www.ice.org.uk/membership/working-with-employers,One Great George Street,,Westminster,London,SW1P 3AA,10020595,,
EPA0081,University of the West of England,Higher Education Institution,,Frenchay Campus,Coldharbour Road,,Bristol,BS16 1QY      ,10007164,,
EPA0082,SFJ Awards,Awarding Organisation,,"1st Floor, Consult House",4 Hayland Street,,Sheffield,S9 1BY,10039259,,
EPA0083,The Real Apprenticeship Company,Training Provider,http://www.therealapprenticeship.com/,7B Tournament Court,Edgehill Drive,,Warwick,CV34 6LG,10030670,,
EPA0084,Royal Aeronautical Society,Professional body,https://www.aerosociety.com/membership-accreditation/professional-registration, 4 Hamilton Place,,,London,W1J 7BQ,-,,
EPA0085,Royal Naval Apprenticeships,Other,https://www.royalnavy.mod.uk/engineers/apprenticeships,SO1 Edd & Apps,Naval Command Headquarters,"Leach Building, Whale Island",Portsmouth,PO2 8BY,10033438,,
EPA0086,Babcock Engineering Assessments,Assessment Organisation,https://www.babcockinternational.com/en/What-We-Do/Training/Vocational-and-Apprenticeship-Training/Employers/End-Point-Assessment,"Babcock Engineering Academy, Faraday Building,",HMS Sultan,Military Road,Gosport,PO12 3BY,10001186,,
EPA0087,Further Training Ltd,Training Provider,http://www.furthertraining.co.uk/end-point-assessement/,Further Training,European Business Park,Taylors Lane,Oldbury,B69 2BN,10044321,,
EPA0088,University of Cumbria,Higher Education Institution,https://www.cumbria.ac.uk/business/higher-level-apprenticeships/,Bowerham Road, ,,Lancaster,LA1 3JD,10007842,,
EPA0089,Ginger Nut Training,Training Provider,https://gingernuttraining.co.uk/standards/endpointassessment/,Employer Engagement Manager,37 Queen Street,Colchester,Essex,CO1 2PQ,10048380,,
EPA0090,BPEC Certification Ltd,Awarding Organisation,http://bpec.org.uk/,1-2 Mallard Way,Pride Park, ,Derby,DE24 8GX,10032878,,
EPA0091,ABC Awards,Awarding Organisation,http://www.abcawards.co.uk/employers/end-point-assessment/,"Robins Wood House,",Robins Wood Road,Aspley,Nottingham ,NG8 3NH,10022660,,
EPA0092,University of Chichester,Higher Education Institution,http://www.chi.ac.uk/digital-and-technology-solutions-professional-software-engineer-degree-apprenticeship,Bognor Regis Campus,Upper Bognor Road,Bognor Regis,West Sussex,PO21 1HR,10007137,,
EPA0093,CABWI Awarding Body,Awarding Organisation,https://www.cabwi.co.uk/,Holland House,4 Bury Street,,London,EC3A 5AW,10022671,,
EPA0094,TUV UK Ltd,Professional body,https://www.tuv-nord.com/uk/en/our-services/welding/,AMP House,"Suites 27 - 29, Fifth Floor","Dingwall Road,",Croydon,CR0 2LX,10029117,,
EPA0095,Professional Assessment Ltd,Assessment Organisation,http://professionalassessment.co.uk/,"Unit 20, Maisies Way",The Village,South Normanton,Derbyshire,DE55 2DS,-,,
EPA0096,University of Leeds,Higher Education Institution,http://ses.leeds.ac.uk/info/20610/taught_student_assessment ,Room 10.05 Marjorie,Arnold Ziff Building,,LEEDS,LS2 9JT ,10007795,,
EPA0097,International Compliance Association,Professional body,https://www.int-comp.org/careers/apprenticeships/,"Wrens Court,",52-54 Victoria Road,Sutton Coldfield,West Midlands,B72 1SX,10057402,,
EPA0098,Institute of Animal Technology,Professional body,http://www.iat.org.uk/apprentice,St Johns House,5 South Parade,,Oxford,OX2 7JL,10030859,,
EPA0099,Road Haulage Association,Professional body,https://www.rha.uk.net/,Roadway House,Bretton Way,Bretton,Peterborough,PE3 8DD,10026420,,
EPA0100,IOM Communications,Training Provider,http://www.iom3.org/apprenticeship-standards-resources-and-assessment-plan-information,The Boilerhouse,Caunt Road,,Grantham,NG31 7FZ,-,,
EPA0101,The University of West London ,Higher Education Institution,http://www.uwl.ac.uk/academic-schools/computing/subject-areas-and-courses/degree-apprenticeship-digital-and-technology,"St Mary's Road,",Ealing,,London,W5 5RF,10006566,,
EPA0102,Lakes College West Cumbria,Training Provider,http://www.lcwc.ac.uk/,Hallwood Road,Lillyhall Business Park,"Lillyhall , Workington",Cumbria,CA14 4JN,10003753,,
EPA0103,Essential Learning and Skills Ltd,Training Provider,,31 Stanley Crescent,Gravesend,,Kent,DA12 5SZ,10923816,,
EPA0104,HEE National School of Healthcare Science,Other,http://www.nshcs.hee.nhs.uk/join-apprenticeships/apprenticeships,St Chads Court,213 Hagley Road, ,Birmingham,B16 9RG,10041342,,
EPA0105,Skills for Logistics (2015) Ltd,Assessment Organisation,http://www.skillsforlogistics.co.uk/ ,13 Berkeley Square,,,Bristol,BS8 1HB  ,-,,
EPA0106,Colchester Teacher Training Consortium,Training Provider,http://colchesterttc.org.uk/,Norman Way,,,Colchester ,CO3 3US,10035498,,
EPA0107,Suffolk Chamber of Commerces,Training Provider,https://www.suffolkchamber.co.uk/,Felaw Maltings,South Kiln,Ipswich,Suffolk  ,IP2 8SQ,10006397,,
EPA0108,TEACH Poole,Training Provider,http://www.poolescitt.co.uk/,Ad Astra Infant School,Sherborn Crescent,Canford Heath ,Poole,BH17 8AP,10057353,,
EPA0109,Sheldrake Training Limited ,Training Provider,http://www.sheldraketraining.co.uk/,Old Fire Station,Salt Lane,Salisbury,Wiltshire,SP1 1DU,10063519,,
EPA0110,CIPD,Professional body,https://www.cipd.co.uk/learn/hr-trailblazer-apprenticeships,151 The Broadway,Wimbledon,,London,SW19 1JQ,10009191,,
EPA0111,Cornwall SCITT,Training Provider,https://www.cornwallscitt.org,Truro & Penwith College,Truro,,Cornwall,TR1 3XX,10007063,,
EPA0112,Essex Teacher Training,Training Provider,http://www.eesforschools.org/ett,ACL Harlow,Partridge Road, ,Harlow,CM18 6TE,10002327,,
