EPA_organisation_identifier,EPA_organisation (lookup auto-populated),Standard_code,StandardName (lookup auto-populated),Delivery_area,,,
EPA0001,"BCS, The Chartered Institute for IT",79,Cyber Intrusion Analyst,All,,,
EPA0001,"BCS, The Chartered Institute for IT",80,Data Analyst,All,,,
EPA0001,"BCS, The Chartered Institute for IT",78,Digital Marketer,All,,,
EPA0001,"BCS, The Chartered Institute for IT",82,Infrastructure Technician,All,,,
EPA0001,"BCS, The Chartered Institute for IT",1,Network Engineer,All,,,
EPA0001,"BCS, The Chartered Institute for IT",2,Software Developer,All,,,
EPA0001,"BCS, The Chartered Institute for IT",91,Software Tester,All,,,
EPA0001,"BCS, The Chartered Institute for IT",81,Unified Communications Trouble Shooter,All,,,
EPA0001,"BCS, The Chartered Institute for IT",98,Cyber Security Technologist,All,,,
EPA0003,BINDT,132,Non-destructive Testing (NDT) Operator,All,,,
EPA0003,BINDT,35,Nuclear Welding Inspection Technician,All,,,
EPA0003,BINDT,67,Non-destructive Testing Engineering Technician,All,,,
EPA0004,BT PLC,1,Network Engineer,All,,, 
EPA0004,BT PLC,2,Software Developer,All,,,
EPA0005,Chartered Institute of Credit Management,77,Credit Controller/Collector,All,,,
EPA0005,Chartered Institute of Credit Management,148,Advanced Credit Controller / Debt Collection Specialist,All,,,
EPA0007,The Chartered Institute of Legal Executives (CILEx),41,Chartered Legal Executive,All,,,
EPA0007,The Chartered Institute of Legal Executives (CILEx),42,Paralegal,All,,,
EPA0008,City and Guilds,17,Actuarial Technician,All,,,
EPA0008,City and Guilds,61,Dental Nurse,All,,,
EPA0008,City and Guilds,21,Golf Greenkeeper,All,,,
EPA0008,City and Guilds,59,Motor Vehicle Service and Maintenance Technician (light vehicle),All,,,
EPA0008,City and Guilds,1,Network Engineer,All,,,
EPA0008,City and Guilds,23,Property Maintenance Operative,All,,,
EPA0008,City and Guilds,36,Public Service Operational Delivery Officer,All,,,
EPA0008,City and Guilds,49,Refrigeration Air Conditioning and Heat Pump Engineering Technician,All,,,
EPA0008,City and Guilds,2,Software Developer,All,,,
EPA0008,City and Guilds,60,Insurance Practitioner,All,,,
EPA0008,City and Guilds,63,Insurance Professional,All,,,
EPA0008,City and Guilds,29,Investment Operations Administrator,All,,,
EPA0008,City and Guilds,30,Investment Operations Specialist,All,,,
EPA0008,City and Guilds,33,Investment Operations Technician,All,,,
EPA0008,City and Guilds,82,Infrastructure Technician,All,,,
EPA0008,City and Guilds,104,Operations/Departmental Manager,All,,,
EPA0008,City and Guilds,105,Team Leader/Supervisor,All,,,
EPA0008,City and Guilds,122,Customer Service Practitioner,All,,,
EPA0008,City and Guilds,119,Adult Care Worker,All,,,
EPA0008,City and Guilds,118,Lead Adult Care Worker,All,,,
EPA0008,City and Guilds,90,Rail Engineering Operative,All,,,
EPA0008,City and Guilds,157,Hair Professional,All,,,
EPA0008,City and Guilds,103,Healthcare Support Worker,All,,,
EPA0008,City and Guilds,151,Senior Healthcare Support Worker,All,,,
EPA0009,Energy & Utilities Independent Assessment Service,26,Dual Fuel Smart Meter Installer,All,,,
EPA0009,Energy & Utilities Independent Assessment Service,53,Utilities Engineering Technician,All,,,
EPA0009,Energy & Utilities Independent Assessment Service,74,Gas Engineering,All,,,
EPA0009,Energy & Utilities Independent Assessment Service,58,Gas Network Team Leader,All,,,
EPA0009,Energy & Utilities Independent Assessment Service,57,Gas Network Craftsperson,All,,,
EPA0009,Energy & Utilities Independent Assessment Service,6,Power Network Craftsperson,All,,,
EPA0009,Energy & Utilities Independent Assessment Service,27,Water Process Technician,All,,,
EPA0009,Energy & Utilities Independent Assessment Service,127,Electrical Power Protection and Plant Commissioning Engineer,All,,,
EPA0009,Energy & Utilities Independent Assessment Service,146,Maintenance and Operations Engineering Technician,All,,,
EPA0010,EAL,26,Dual Fuel Smart Meter Installer,All,,,
EPA0010,EAL,128,Associate Project Manager,All,,,
EPA0011,FDQ Ltd,54,Butcher,All,,,
EPA0013,NCTJ Training,22,Junior Journalist,All,,,
EPA0014,NOCN,28,Financial Services Customer Adviser,All,,,
EPA0014,NOCN,23,Property Maintenance Operative,All,,,
EPA0014,NOCN,36,Public Service Operational Delivery Officer,All,,,
EPA0014,NOCN,31,Senior Financial Services Customer Adviser,All,,,
EPA0014,NOCN,118,Lead Adult Care Worker,All,,,
EPA0014,NOCN,119,Adult Care Worker,All,,,
EPA0014,NOCN,14,Laboratory Technician,All,,,
EPA0014,NOCN,44,Laboratory Scientist,All,,,
EPA0014,NOCN,15,Science Manufacturing Technician,All,,,
EPA0014,NOCN,45,Science Industry Maintenance Technician,All,,,
EPA0014,NOCN,101,Retailer,All,,,
EPA0014,NOCN,77,Credit Controller/Collector,All,,,
EPA0014,NOCN,62,Mortgage Adviser,All,,,
EPA0014,NOCN,92,Engineering Design and Draughtsperson,All,,,
EPA0014,NOCN,122,Customer Service Practitioner,All,,,
EPA0014,NOCN,153,Financial Adviser,All,,,
EPA0014,NOCN,8,Financial Services Administrator,All,,,
EPA0014,NOCN,102,Healthcare Assistant Practitioner,All,,,
EPA0014,NOCN,103,Healthcare Support Worker,All,,,
EPA0014,NOCN,105,Team Leader/Supervisor,All,,,
EPA0014,NOCN,99,Healthcare Science Assistant,All,,,
EPA0016,Pearson Education Limited,20,Dental Practice Manager,All,,,
EPA0016,Pearson Education Limited,26,Dual Fuel Smart Meter Installer,All,,,
EPA0016,Pearson Education Limited,28,Financial Services Customer Adviser,All,,,
EPA0016,Pearson Education Limited,65,Housing/Property Management,All,,,
EPA0016,Pearson Education Limited,59,Motor Vehicle Service and Maintenance Technician (light vehicle),All,,,
EPA0016,Pearson Education Limited,23,Property Maintenance Operative,All,,,
EPA0016,Pearson Education Limited,24,Railway Engineering Design Technician,All,,,
EPA0016,Pearson Education Limited,31,Senior Financial Services Customer Adviser,All,,,
EPA0016,Pearson Education Limited,52,Systems Engineering Masters Level,All,,,
EPA0016,Pearson Education Limited,53,Utilities Engineering Technician,All,,,
EPA0016,Pearson Education Limited,27,Water Process Technician,All,,,
EPA0016,Pearson Education Limited,122,Customer Service Practitioner,All,,,
EPA0016,Pearson Education Limited,99,Healthcare Science Assistant,All,,,
EPA0016,Pearson Education Limited,102,Healthcare Assistant Practitioner,All,,,
EPA0016,Pearson Education Limited,103,Healthcare Support Worker,All,,,
EPA0016,Pearson Education Limited,150,Healthcare Science Associate,All,,,
EPA0016,Pearson Education Limited,151,Senior Healthcare Support Worker,All,,,
EPA0016,Pearson Education Limited,105,Team Leader/Supervisor,All,,,
EPA0016,Pearson Education Limited,93,Commis Chef,All,,,
EPA0016,Pearson Education Limited,96,Hospitality Team Member,All,,,
EPA0016,Pearson Education Limited,101,Retailer,All,,,
EPA0016,Pearson Education Limited,119,Adult Care Worker,All,,,
EPA0016,Pearson Education Limited,87,Aviation Ground Operative,All,,,
EPA0016,Pearson Education Limited,86,Aviation Ground Specialist,All,,,
EPA0016,Pearson Education Limited,123,Aviation Operations Manager,All,,,
EPA0016,Pearson Education Limited,138,Hospitality Supervisor,All,,,
EPA0016,Pearson Education Limited,118,Lead Adult Care Worker,All,,,
EPA0016,Pearson Education Limited,104,Operations/Departmental Manager,All,,,
EPA0016,Pearson Education Limited,147,Retail Manager,All,,,
EPA0016,Pearson Education Limited,140,Retail Team Leader,All,,,
EPA0016,Pearson Education Limited,139,Senior Chef Production Cooking,All,,,
EPA0017,Royal Institution of Chartered Surveyors,50,Chartered Surveyor,All,,,
EPA0017,Royal Institution of Chartered Surveyors,51,Surveying Technician,All,,,
EPA0018,The Pensions Management Institute,32,Workplace Pensions (Administrator or Consultant),All,,,
EPA0019,Training 2000 Ltd,61,Dental Nurse,All,,,
