StandardCode,Version,StandardName,StandardSectorCode,NotionalEndLevel,EffectiveFrom,LastDateStarts,EffectiveTo,URLLink,SectorSubjectAreaTier1,SectorSubjectAreaTier2,IntegratedDegreeStandard,Created_On,Created_By,Modified_On,Modified_By
1,1,Network Engineer,7,4,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-network-engineer,6,6.1,N,09-Jul-15,goodmand,09-Jul-15,goodmand
2,1,Software Developer,7,4,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-software-developer,6,6.2,N,09-Jul-15,goodmand,09-Jul-15,goodmand
3,1,Aerospace Manufacturing Fitter,2,3,01-Aug-14,31-Mar-17,31-Mar-17,https://www.gov.uk/government/publications/apprenticeship-standard-aerospace-manufacturing-fitter,4,4.1,N,09-Jul-15,goodmand,07-Apr-17,robinsonsar
4,1,Mechatronics Maintenance Technician,3,3,01-Aug-14,31-Mar-17,31-Mar-17,https://www.gov.uk/government/publications/apprenticeship-standard-mechatronics-maintenance-technician,4,4.2,N,09-Jul-15,goodmand,07-Apr-17,robinsonsar
5,1,Installation Electrician/Maintenance Electrician,19,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-installation-electricianmaintenance-electrician,4,4.1,N,16-Sep-15,fisherk,16-Sep-15,fisherk
6,1,Power Network Craftsperson,8,3,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-power-network-craftsperson,4,4.1,N,09-Jul-15,goodmand,09-Jul-15,goodmand
7,1,Relationship Manager (Banking),9,6,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-relationship-manager-banking,15,15.1,N,09-Jul-15,goodmand,09-Jul-15,goodmand
8,1,Financial Services Administrator,9,3,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-financial-services-administrator,15,15.1,N,09-Jul-15,goodmand,09-Jul-15,goodmand
9,1,Control /Technical Support Engineer,3,6,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-controltechnical-support-engineer,4,4.2,N,09-Jul-15,goodmand,06-Aug-15,vijaydek
10,1,Electrical /Electronic Technical Support Engineer,3,6,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-electricalelectronic-technical-support-engineer,4,4.2,N,09-Jul-15,goodmand,06-Aug-15,vijaydek
11,1,Manufacturing Engineer,3,6,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-manufacturing-engineer,4,4.2,N,09-Jul-15,goodmand,14-Sep-16,goodmand
12,1,Product Design and Development Engineer,3,6,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-product-design-and-development-engineer,4,4.2,N,09-Jul-15,goodmand,14-Sep-16,goodmand
13,1,Product Design and Development Technician,3,3,01-Aug-14,31-Mar-17,31-Mar-17,https://www.gov.uk/government/publications/apprenticeship-standard-product-design-and-development-technician,4,4.2,N,09-Jul-15,goodmand,07-Apr-17,robinsonsar
14,1,Laboratory Technician,4,3,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-laboratory-technician,4,4.2,N,09-Jul-15,goodmand,06-Aug-15,vijaydek
15,1,Science Manufacturing Technician,4,3,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-science-manufacturing-technician,4,4.2,N,09-Jul-15,goodmand,06-Aug-15,vijaydek
