"organisations.EPA_organisation_identifier","Contact_address1","Contact_address2","Contact_address3","Contact_address4","Contact_postcode","UPRN"
"EPA0001","BCS, The Chartered Institute for IT","Block D, North Star House","North Star Avenue","Swindon","SN2 1FA",NA
"EPA0002","Number One Building","The Causeway","Bishop's Stortford","Herts","CM23 2ER",NA
"EPA0003","Midsummer House","Riverside Way","Bedford Road","Northampton","NN1 5NX ",NA
"EPA0004","TA120, Admin Building","Yarnfield Park, Yarnfield","Stone","Staffordshire","ST15 0NLÊ",NA
"EPA0005","The Water Mill","Station Road","South Luffenham","Oakham","LE15 8NB",NA
"EPA0006","Chartered Institute of Housing","Octavia House","Westwood Way","Coventry","CV4 8JP",NA
"EPA0007","Kempston Manor","Kempston","","Bedford","MK42 7AB",NA
"EPA0008","1 Giltspur Street",""," ","London","EC1A 9DD",NA
"EPA0009","Friars Gate","1011 Stratford Road","Shirley","Solihull","B90 4BN",NA
"EPA0010","Unit 2, The Orient Centre","Greycaine Road","Watford","Herts","WD24 7GP",NA
"EPA0011","Pure Offices","4100 Park Approach","Thorpe Park","Leeds","LS15 8GB",NA
"EPA0012","Freemen's Park Campus","Aylestone Road","","Leicester","LE2 7LW",NA
"EPA0013","The New Granary","Station Road","Newport","Essex","CB11 3PL",NA
"EPA0014","The Quadrant","Parkway Business Centre","99 Parkway Avenue","Sheffield","S9 4WG",NA
"EPA0016","Pearson Work Based Learning & Colleges","190 High Holborn","","London","WC1V 7BH",NA
"EPA0017","Parliament Square","","","London","SW1P 3AD",NA
"EPA0018","Floor 20, Tower 42","25 Old Broad Street ","","London","EC2N 1 HQ",NA
"EPA0019"," Furthergate Business Park"," Harwood Street","","Blackburn","BB1 3BD",NA
"EPA0021","University of Bradford","Richmond Road","","Bradford","BD7 1DP",NA
"EPA0022","Wainbrook House","Hudds Vale Road","","Bristol","BS5 7HY",NA
"EPA0023","Fanshaws","Brickendon","","Hertford","SG13 8PQ",NA
"EPA0024","65 Scarisbrick New Road","","Southport","Merseyside","PR8 6LF",NA
"EPA0025","Easton House","Church Street","Easton on the Hill","Stamford","PE9 3NZ",NA
"EPA0026","3rd floor","77 Kingsway","","London","WC2B 6SR",NA
"EPA0027","CAN Mezzanine","49-51 East Road","","London","N1 6AH",NA
"EPA0028","Unit 5 Mandarin Court","Centre Park","","Warrington","WA1 1GG",NA
"EPA0029","Drumsheugh House","38b Drumsheugh Gardens","","Edinburgh","EH3 7SW",NA
"EPA0030","Hope Hall Room 1.06","Prince of Wales Road","","Exeter","EX4 4PL",NA
"EPA0031","140 Aldersgate Street","","","London","EC1A 4HY",NA
"EPA0032","10 Oak Gates","Egerton","","Bolton","BL7 9TQ",NA
"EPA0033","Q6 Quorum Business Park","Benton Lane","","Newcastle upon Tyne","NE12 8BT",NA
"EPA0034","Osborne House","20 Victoria Avenue","","Harrogate","HG1 5QY",NA
"EPA0035","Maritime & Coastguard Agency Spring Place ","105 Commercial Road ","Southampton","Hampshire","SO15 1EG",NA
"EPA0036","Old Mansion House","Eamont Bridge","Penrith","Cumbria","CA10 2BX",NA
"EPA0037","ProQual AB, ProQual House","Annie Med Lane","","South Cave","HU15 2HG",NA
"EPA0038","The Adelphi","1-11 John Adam Street","","London","WC2N 6AU",NA
"EPA0039","BIIAB","Infor House","1 Lakeside Road","Farnborough","GU14 6XP",NA
"EPA0040","The Centre for Housing and Support","Kirkham House","John Comyn Drive","Worcester","WR3 7NS",NA
"EPA0041","DSW Consulting, DSW House","Unit 3, Hayfield Business Park
Field Lane","Auckley","Doncaster","DN9 3FL",NA
"EPA0042","Highfield House","Heavens Walk","Doncaster","South Yorkshire","DN45 5HZ",NA
"EPA0044","14b Sunrise Business Park","Higher Shaftesbury Road","Blandford Forum","Dorset","DT11 8ST",NA
"EPA0045","The Catalyst","Baird Lane","Heslington","York","YO10 5GA",NA
"EPA0046","88 Crawford Street","","","London","W1H 2EJ",NA
"EPA0047","93 George Street","","","Edinburgh","EH2 3ES",NA
"EPA0048","Dennett House","11 Middle Street","Taunton","Somerset","TA1 1SH",NA
"EPA0049","Granta Park","Great Abington","","Cambridge","CB21 6AL",NA
"EPA0050","Chartered Accountants Hall","Moorgate Place","","London","EC2R 6EA",NA
"EPA0051","National Skills Academy for Nuclear","9 Europe Way","Cockermouth","Cumbria","CA13 0RJ",NA
"EPA0052","Optima building","58 Robertson Street","","Glasgow","G2 8DQ",NA
"EPA0053","Westminster House","Ermine Business Park","","Huntingdon","PE29 6XY",NA
"EPA0054","416 Fort Dunlop","Fort parkway","","Birmingham","B24 9FD",NA
"EPA0055","Michael Faraday House","Six Hills Way","","Stevenage","SG1 2AY",NA
"EPA0056","Room LN21","Armstrong House","First Avenue","Doncaster","DN9 3GA",NA
"EPA0057","EMP House","Telford Way","","Coalville","LE67 3HE",NA
"EPA0058","4th Floor","Salt Quay House","Sutton Harbour","Plymouth","PL4 0HP",NA
"EPA0059","4th Floor","1 Birdcage Walk","","London","SW1H 9JJ",NA
"EPA0060","1 Birdcage Walk","","","London ","SW1H 9JJ",NA
"EPA0061","84 Liverpool Road","Cadishead","","Manchester","M44 5AN",NA
"EPA0062","CPD Centre, Food Services Wing","Alexis Hoyer House
","Worthy Down","Hampshire
","SO21 2RG",NA
"EPA0063","Cherie Booth Building","Byrom Street","Liverpool ","Merseyside","L3 3AF",NA
"EPA0064","3 Pride Point Drive","Pride Park","","Derby","DE24 8BX",NA
"EPA0065","Aston Triangle","","","Birmingham","B4 7ET",NA
"EPA0066","122-126 Tooley Street"," ","","London","SE1 2TU",NA
"EPA0067","White Rose House","81 b/c High Street","Ware","Herts","SG12 9AD",NA
"EPA0068","Sword House","Totteridge Road","High Wycombe","Bucks","HP13 6DG",NA
"EPA0069","Aspire House","Annealing Close","","Eastleigh","SO50 9PX",NA
"EPA0070","1st Floor","11-19 Artillery Row","","London ","SW1P 1RT",NA
"EPA0071","Capital Court","Windsor Street","","Uxbridge","UB8 1AB",NA
"EPA0072","Floor 6a","Kingsgate","Wellington Road","Stockport","SK4 1LW",NA
"EPA0073","Lantra House","Stoneleigh Park","","Coventry","CV8 2LG",NA
"EPA0074","Unit 221 Stratford Workshops","Burford Road"," ","London","E15 2SP",NA
"EPA0075","Bishop Hall Lane","Chelmsford","","Essex","CM1 1SQ",NA
"EPA0076","City Campus","","","Leeds","LS1 3HB",NA
"EPA0077"," Beechwood House","Tanners Lane","Berkswell","Coventry","CV7 7DA",NA
"EPA0078","Enterprise & Innovation","3rd Floor","Edinburgh Building, City Campus, Chester Road","Sunderland","SR1 3SD",NA
"EPA0079","Unit 3","Cherry Hall Road","North Kettering Park","Kettering","NN14 1UE",NA
"EPA0080","One Great George Street","","Westminster","London","SW1P 3AA",NA
"EPA0081","Frenchay Campus","Coldharbour Road","","Bristol","BS16 1QY      ",NA
"EPA0082","1st Floor, Consult House","4 Hayland Street","","Sheffield","S9 1BY",NA
"EPA0083","7B Tournament Court","Edgehill Drive","","Warwick","CV34 6LG",NA
"EPA0084"," 4 Hamilton Place","","","London","W1J 7BQ",NA
"EPA0085","SO1 Edd & Apps","Naval Command Headquarters","Leach Building, Whale Island","Portsmouth","PO2 8BY",NA
"EPA0086","Babcock Engineering Academy, Faraday Building,","HMS Sultan","Military Road","Gosport","PO12 3BY",NA
"EPA0087","Further Training","European Business Park","Taylors Lane","Oldbury","B69 2BN",NA
"EPA0088","Bowerham Road"," ","","Lancaster","LA1 3JD",NA
"EPA0089","Employer Engagement Manager","37 Queen Street","Colchester","Essex","CO1 2PQ",NA
"EPA0090","1-2 Mallard Way","Pride Park"," ","Derby","DE24 8GX",NA
"EPA0091","Robins Wood House,","Robins Wood Road","Aspley","Nottingham ","NG8 3NH",NA
"EPA0092","Bognor Regis Campus","Upper Bognor Road","Bognor Regis","West Sussex","PO21 1HR",NA
"EPA0093","Holland House","4 Bury Street","","London","EC3A 5AW",NA
"EPA0094","AMP House","Suites 27 - 29, Fifth Floor","Dingwall Road,","Croydon","CR0 2LX",NA
"EPA0095","Unit 20, Maisies Way","The Village","South Normanton","Derbyshire","DE55 2DS",NA
"EPA0096","Room 10.05 Marjorie","Arnold Ziff Building","","LEEDS","LS2 9JT ",NA
"EPA0097","Wrens Court,","52-54 Victoria Road","Sutton Coldfield","West Midlands","B72 1SX",NA
"EPA0098","St Johns House","5 South Parade","","Oxford","OX2 7JL",NA
"EPA0099","Roadway House","Bretton Way","Bretton","Peterborough","PE3 8DD",NA
"EPA0100","The Boilerhouse","Caunt Road","","Grantham","NG31 7FZ",NA
"EPA0101","St Mary's Road,","Ealing","","London","W5 5RF",NA
"EPA0102","Hallwood Road","Lillyhall Business Park","Lillyhall , Workington","Cumbria","CA14 4JN",NA
"EPA0103","31 Stanley Crescent","Gravesend","","Kent","DA12 5SZ",NA
"EPA0104","St Chads Court","213 Hagley Road"," ","Birmingham","B16 9RG",NA
"EPA0105","13 Berkeley Square","","","Bristol","BS8 1HB  ",NA
"EPA0106","Norman Way","","","Colchester ","CO3 3US",NA
"EPA0107","Felaw Maltings","South Kiln","Ipswich","Suffolk  ","IP2 8SQ",NA
"EPA0108","Ad Astra Infant School","Sherborn Crescent","Canford Heath ","Poole","BH17 8AP",NA
"EPA0109","Old Fire Station","Salt Lane","Salisbury","Wiltshire","SP1 1DU",NA
"EPA0110","151 The Broadway","Wimbledon","","London","SW19 1JQ",NA
"EPA0111","Truro & Penwith College","Truro","","Cornwall","TR1 3XX",NA
"EPA0112","ACL Harlow","Partridge Road"," ","Harlow","CM18 6TE",NA
"EPA0113","Runwell Community Primary School","Canewdon Gardens","Wickford","Essex","SS11 7BJ",NA
"EPA0114","11 Tothill Street","Westminster","","London","SW1H 9LH",NA
"EPA0115","75 Harborne Road","","","Birmingham ","B15 3DH",NA
"EPA0116","Passfield Way","","","Peterlee","SR81AU",NA
"EPA0117","Oakthorpe Primary School","Tile Kiln Lane","","London","N13 6BY",NA
"EPA0118","Churston House","","","Bristol","BS9 4TD",NA
"EPA0119","1B Mitre Court","38 Lichfield Road","Sutton Coldfield","West Midlands","B74 2LZ",NA
"EPA0120","2 London Road","Tunbridge Wells","","Kent ","TN1 1DQ",NA
"EPA0121","St Mark's House,","14 Upperton Rd","","Eastbourne","BN21 1EU",NA
