apprenticeship-end-point-assessment-organisation-standard-code	name	apprenticeship-standard	start-date	end-date
1	Network Engineer	ST0127		
2	Software Developer	ST0116		
3	Aerospace Manufacturing Fitter			
4	Mechatronics Maintenance Technician			
5	Installation Electrician/Maintenance Electrician	ST0152		
6	Power Network Craftsperson	ST0156		
7	Relationship Manager (Banking)	ST0184		
8	Financial Services Administrator	ST0177		
9	Control /Technical Support Engineer			
10	Electrical /Electronic Technical Support Engineer			
11	Manufacturing Engineer			
12	Product Design and Development Engineer			
13	Product Design and Development Technician			
14	Laboratory Technician	ST0248		
15	Science Manufacturing Technician	ST0250		
16	Food and Drink Maintenance Engineer	ST0195		
17	Actuarial Technician	ST0004		
18	Dental Technician	ST0108		
19	Dental Laboratory Assistant	ST0110		
20	Dental Practice Manager	ST0109		
21	Golf Greenkeeper	ST0209		
22	Junior Journalist	ST0285		
23	Property Maintenance Operative	ST0171		
24	Railway Engineering Design Technician	ST0315		
25	Digital and Technology Solutions Professional			
26	Dual Fuel Smart Meter Installer	ST0158		
27	Water Process Technician	ST0160		
28	Financial Services Customer Adviser	ST0178		
29	Investment Operations Administrator	ST0179		
30	Investment Operations Specialist	ST0180		
31	Senior Financial Services Customer Adviser	ST0185		
32	Workplace Pensions (Administrator or Consultant)	ST0187		
33	Investment Operations Technician	ST0181		
34	Able Seafarer (Deck)	ST0274		
35	Nuclear Welding Inspection Technician	ST0292		
36	Public Service Operational Delivery Officer	ST0314		
37	Aerospace Engineer			
38	Aerospace Software Development Engineer			
39	Conveyancing Technician	ST0100		
40	Licensed Conveyancer	ST0101		
41	Chartered Legal Executive	ST0244		
42	Paralegal	ST0245		
43	Solicitor	ST0246		
44	Laboratory Scientist	ST0247		
45	Science Industry Maintenance Technician	ST0249		
46	Nuclear Health Physics Monitor	ST0290		
47	Nuclear Scientist and Nuclear Engineer			
48	Paraplanner	ST0183		
49	Refrigeration Air Conditioning and Heat Pump Engineering Technician	ST0322		
50	Chartered Surveyor			
51	Surveying Technician	ST0332		
52	Systems Engineering Masters Level	ST0107		
53	Utilities Engineering Technician	ST0159		
54	Butcher	ST0078		
55	Chartered Manager Degree Apprenticeship			
56	Aerospace Manufacturing Electrical, Mechanical and Systems Fitter			
57	Gas Network Craftsperson	ST0205		
58	Gas Network Team Leader	ST0204		
59	Motor Vehicle Service and Maintenance Technician (light vehicle)	ST0033		
60	Insurance Practitioner	ST0240		
61	Dental Nurse	ST0113		
62	Mortgage Adviser	ST0182		
63	Insurance Professional	ST0241		
64	Housing/Property Management Assistant	ST0235		
65	Housing/Property Management	ST0234		
66	Senior Housing/Property Management	ST0236		
67	Non-destructive Testing Engineering Technician	ST0288		
68	Junior Energy Manager	ST0161		
69	Land-Based Service Engineer	ST0242_03		
70	Land-Based Service Engineering Technician	ST0243		
71	Live Event Rigger	ST0256		
72	Bespoke Tailor and Cutter	ST0055		
73	Public Sector Commercial Professional			
74	Gas Engineering	ST0155		
75	Outside Broadcasting Engineer			
76	Boatbuilder	ST0059		
