apprenticeship-end-point-assessment-organisation	name	ukprn	apprenticeship-end-point-assessment-organisation-type	address	start-date	end-date
EPA0001	"BCS, The Chartered Institute for IT"	10022712	6			
EPA0002	British Institute of Facilities Management	10029857	6			
EPA0003	BINDT		6			
EPA0004	BT PLC	10025729	3			
EPA0005	Chartered Institute of Credit Management	10055891	6			
EPA0006	Chartered Institute of Housing	10001328	6			
EPA0007	The Chartered Institute of Legal Executives (CILEx)	10038999	2			
EPA0008	City and Guilds	10009931	2			
EPA0009	Energy & Utilities Independent Assessment Service	10009688	7			
EPA0010	EAL	10022677	2			
EPA0011	FDQ Ltd	10022682	2			
EPA0012	Leicester College	10003867	8			
EPA0013	NCTJ Training	10020431	2			
EPA0014	NOCN	10022697	2			
EPA0016	Pearson Education Limited	10022490	2			
EPA0017	Royal Institution of Chartered Surveyors	10014111	6			
EPA0018	The Pensions Management Institute	10022717	6			
EPA0019	Training 2000 Ltd	10006987	8			
EPA0021	University of Bradford	10007785	4			
EPA0022	Innovate Awarding Limited	10030507	2			
EPA0023	The Institute of the Motor Industry	10022714	2			
EPA0024	Babcock Assessments Ltd	10002809	1			
EPA0025	Chartered Institute of Procurement and Supply	10001331	2			
EPA0026	Chartered Management Institute	10001333	6			
EPA0027	NET	10054568	5			
EPA0028	Science Industry Assessment Service	10049534	1			
EPA0029	Chartered Banker Institute		6			
EPA0030	University of Exeter	10007792	4			
EPA0031	The Association of Accounting Technicians	10022663	2			
EPA0032	Adalta Development Ltd	10043865	8			
EPA0033	NCFE/CACHE	10009696	2			
EPA0034	VQ Solutions Ltd	10022405	8			
EPA0035	The Maritime and Coastguard Agency		5			
EPA0036	BESA Training	10054451	3			
EPA0037	ProQual AB	10036649	2			
EPA0038	Association of Chartered Certified Accountants	10010201	6			
EPA0039	BIIAB	10036631	2			
EPA0040	The Centre for Housing and Support (part of The Cornwall College Group)	10001696	8			
EPA0041	DSW Consulting	10024089	8			
EPA0042	Highfield Awarding Body for Compliance (HABC)	10030505	2			
EPA0044	The Colleges' Partnership Ltd	10020932	8			
EPA0045	Occupational Awards Limited	10052758	2			
EPA0046	Management Focus	10045166	8			
EPA0047	QFI	10058072	2			
EPA0048	South West Councils	10056777	8			
EPA0049	TWI Certification Ltd	10007089	5			
EPA0050	ICAEW	10023923	6			
EPA0051	NSAN	10026575	5			
EPA0052	Scottish Qualifications Authority (SQA)	10038755	2			
EPA0053	Active IQ	10022661	2			
EPA0054	Skillsfirst Assess	10030276	7			
EPA0055	The Institution of Engineering and Technology	10012815	6			
EPA0056	cHRysos HR Solutions Ltd	10024320	8			
EPA0057	Future (Awards and Qualifications) Ltd	10022681	2			
EPA0058	iCQ	10030009	2			
EPA0059	IRSE Enterprises Ltd		6			
EPA0060	Institution of Mechanical Engineers	10046538	6			
EPA0061	Training Qualifications UK	10043783	7			
EPA0062	The Army Catering Trust	10061404	8			
EPA0063	Liverpool John Moores University	10003957	4			
EPA0064	AIM Awards	10032760	2			
EPA0065	Aston University	10007759	4			
EPA0066	Institute of Certified Bookkeepers		6			
EPA0067	SSL Assessment Services Partnership	10047301	8			
EPA0068	APMG-International		6			
EPA0069	VTCT	10022592	2			
EPA0070	Association of Taxation Technicians		6			
EPA0071	Manpower Services Ltd	10004193	8			
EPA0072	GP Strategies Assessment Services	10036952	8			
EPA0073	Lantra Awards	10022695	2			
EPA0074	DiVA Apprenticeships Ltd	10038829	8			
EPA0075	Anglia Ruskin University	10000291	4			
EPA0076	Leeds Beckett University	10003861	4			
EPA0077	Smart Awards	10049123	2			
EPA0078	University of Sunderland	10007159	4			
EPA0079	Instructus	10036355	8			
EPA0080	Institution of Civil Engineers	10020595	6			
EPA0081	University of the West of England	10007164	4			
EPA0082	SFJ Awards	10039259	2			
EPA0083	The Real Apprenticeship Company	10030670	8			
EPA0084	Royal Aeronautical Society		6			
EPA0085	Royal Naval Apprenticeships	10033438	5			
EPA0086	Babcock Engineering Assessments	10001186	1			
EPA0087	Further Training Ltd	10044321	8			
EPA0088	University of Cumbria	10007842	4			
EPA0089	Ginger Nut Training	10048380	8			
EPA0090	BPEC Certification Ltd	10032878	2			
EPA0091	ABC Awards	10022660	2			
EPA0092	University of Chichester	10007137	4			
EPA0093	CABWI Awarding Body	10022671	2			
EPA0094	TUV UK Ltd	10029117	6			
EPA0095	Professional Assessment Ltd		1			
EPA0096	University of Leeds	10007795	4			
EPA0097	International Compliance Association	10057402	6			
EPA0098	Institute of Animal Technology	10030859	6			
EPA0099	Road Haulage Association	10026420	6			
EPA0100	IOM Communications		8			
EPA0101	The University of West London	10006566	4			
EPA0102	Lakes College West Cumbria	10003753	8			
EPA0103	Essential Learning and Skills Ltd	10923816	8			
EPA0104	HEE National School of Healthcare Science	10041342	5			
EPA0105	Skills for Logistics (2015) Ltd		1			
EPA0106	Colchester Teacher Training Consortium	10035498	8			
EPA0107	Suffolk Chamber of Commerces	10006397	8			
EPA0108	TEACH Poole	10057353	8			
EPA0109	Sheldrake Training Limited	10063519	8			
EPA0110	CIPD	10009191	6			
EPA0111	Cornwall SCITT	10007063	8			
EPA0112	Essex Teacher Training	10002327	8			
EPA0113	Essex and Thames Primary SCITT	10058914	8			
EPA0114	Harris Initial Teacher Education		8			
EPA0115	Titan Partnership Ltd	10008562	8			
EPA0116	The Academy at Shotton Hall	10032958	8			
EPA0117	2Schools Consortium	10045988	8			
EPA0118	Academy for Project Management	10053076	8			
EPA0119	CSR Scientific Training Limited	10034416	8			
EPA0120	Hygiene Sue Assessment	10048132	8			
EPA0121	East Sussex Teacher Training Partnership SCITT	10002131	8			
EPA0122	e-Qualitas	10046623	8			
EPA0123	London Metropolitan University	10004048	4			
EPA0124	Newman University	10007832	4			
EPA0125	MP Awards	10026268	2			
EPA0126	Mid Essex Initial Teacher Training	10055240	8			
EPA0127	University of Roehampton	10007776	4			
EPA0128	Surrey South Farnham SCITT	10054050	8			
EPA0129	University of Gloucestershire	10007145	4			
EPA0130	YMCA Awards	10008155	2			
EPA0131	Prepare to Achieve Ltd	10063588	1			
EPA0132	University of Derby	10007851	4			
EPA0133	Chartered Institute of Management Accountants (CIMA)		6			
EPA0134	"Merseyside, Cheshire and Greater Manchester Teacher Training Consortium"	10043119	8			
EPA0135	AuFait Training & Consultancy	10044364	8			
EPA0136	Inplace Learning	10065965	1			
EPA0137	Brockenhurst College	10000944	8			
EPA0138	The Chartered Institute of Taxation		6			
