assessment-organisation-apprenticeship,assessment-organisation,assessment-organisations-standard-code,assessment-organisation-delivery-area,start-date,end-date
1,EPA0001,79,1,NA,NA
2,EPA0001,80,1,NA,NA
3,EPA0001,78,1,NA,NA
4,EPA0001,82,1,NA,NA
5,EPA0001,1,1,NA,NA
6,EPA0001,2,1,NA,NA
7,EPA0001,91,1,NA,NA
8,EPA0001,81,1,NA,NA
9,EPA0001,98,1,NA,NA
10,EPA0003,132,1,NA,NA
11,EPA0003,35,1,NA,NA
12,EPA0003,67,1,NA,NA
13,EPA0004,1,1,NA,NA
14,EPA0004,2,1,NA,NA
15,EPA0005,77,1,NA,NA
16,EPA0005,148,1,NA,NA
17,EPA0007,41,1,NA,NA
18,EPA0007,42,1,NA,NA
19,EPA0008,17,1,NA,NA
20,EPA0008,61,1,NA,NA
21,EPA0008,21,1,NA,NA
22,EPA0008,59,1,NA,NA
23,EPA0008,1,1,NA,NA
24,EPA0008,23,1,NA,NA
25,EPA0008,36,1,NA,NA
26,EPA0008,49,1,NA,NA
27,EPA0008,2,1,NA,NA
28,EPA0008,60,1,NA,NA
29,EPA0008,63,1,NA,NA
30,EPA0008,29,1,NA,NA
31,EPA0008,30,1,NA,NA
32,EPA0008,33,1,NA,NA
33,EPA0008,82,1,NA,NA
34,EPA0008,104,1,NA,NA
35,EPA0008,105,1,NA,NA
36,EPA0008,122,1,NA,NA
37,EPA0008,119,1,NA,NA
38,EPA0008,118,1,NA,NA
39,EPA0008,90,1,NA,NA
40,EPA0008,157,1,NA,NA
41,EPA0008,103,1,NA,NA
42,EPA0008,151,1,NA,NA
43,EPA0009,26,1,NA,NA
44,EPA0009,53,1,NA,NA
45,EPA0009,74,1,NA,NA
46,EPA0009,58,1,NA,NA
47,EPA0009,57,1,NA,NA
48,EPA0009,6,1,NA,NA
49,EPA0009,27,1,NA,NA
50,EPA0009,127,1,NA,NA
51,EPA0009,146,1,NA,NA
52,EPA0010,128,1,NA,NA
53,EPA0011,54,1,NA,NA
54,EPA0012,23,9,NA,NA
55,EPA0013,22,1,NA,NA
56,EPA0014,28,1,NA,NA
57,EPA0014,23,1,NA,NA
58,EPA0014,36,1,NA,NA
59,EPA0014,31,1,NA,NA
60,EPA0014,118,1,NA,NA
61,EPA0014,119,1,NA,NA
62,EPA0014,14,1,NA,NA
63,EPA0014,44,1,NA,NA
64,EPA0014,15,1,NA,NA
65,EPA0014,45,1,NA,NA
66,EPA0014,101,1,NA,NA
67,EPA0014,77,1,NA,NA
68,EPA0014,62,1,NA,NA
69,EPA0014,92,1,NA,NA
70,EPA0014,122,1,NA,NA
71,EPA0014,153,1,NA,NA
72,EPA0014,8,1,NA,NA
73,EPA0014,102,1,NA,NA
74,EPA0014,103,1,NA,NA
75,EPA0014,105,1,NA,NA
76,EPA0014,99,1,NA,NA
77,EPA0016,20,1,NA,NA
78,EPA0016,26,1,NA,NA
79,EPA0016,28,1,NA,NA
80,EPA0016,65,1,NA,NA
81,EPA0016,59,1,NA,NA
82,EPA0016,23,1,NA,NA
83,EPA0016,24,1,NA,NA
84,EPA0016,31,1,NA,NA
85,EPA0016,52,1,NA,NA
86,EPA0016,53,1,NA,NA
87,EPA0016,27,1,NA,NA
88,EPA0016,122,1,NA,NA
89,EPA0016,99,1,NA,NA
90,EPA0016,102,1,NA,NA
91,EPA0016,103,1,NA,NA
92,EPA0016,150,1,NA,NA
93,EPA0016,151,1,NA,NA
94,EPA0016,105,1,NA,NA
95,EPA0016,93,1,NA,NA
96,EPA0016,96,1,NA,NA
97,EPA0016,101,1,NA,NA
98,EPA0016,119,1,NA,NA
99,EPA0016,87,1,NA,NA
100,EPA0016,86,1,NA,NA
101,EPA0016,123,1,NA,NA
102,EPA0016,138,1,NA,NA
103,EPA0016,118,1,NA,NA
104,EPA0016,104,1,NA,NA
105,EPA0016,147,1,NA,NA
106,EPA0016,140,1,NA,NA
107,EPA0016,139,1,NA,NA
108,EPA0017,50,1,NA,NA
109,EPA0017,51,1,NA,NA
110,EPA0018,32,1,NA,NA
111,EPA0019,61,1,NA,NA
