assessment-organisation-apprenticeship	assessment-organisation	assessment-organisation-standard-code	assessment-organisation-delivery-area	start-date	end-date
1	EPA0001	79	1		
2	EPA0001	80	1		
3	EPA0001	78	1		
4	EPA0001	82	1		
5	EPA0001	1	1		
6	EPA0001	2	1		
7	EPA0001	91	1		
8	EPA0001	81	1		
9	EPA0001	98	1		
10	EPA0003	132	1		
11	EPA0003	35	1		
12	EPA0003	67	1		
13	EPA0004	1	1		
14	EPA0004	2	1		
15	EPA0005	77	1		
16	EPA0005	148	1		
17	EPA0007	41	1		
18	EPA0007	42	1		
19	EPA0008	17	1		
20	EPA0008	61	1		
21	EPA0008	21	1		
22	EPA0008	59	1		
23	EPA0008	1	1		
24	EPA0008	23	1		
25	EPA0008	36	1		
26	EPA0008	49	1		
27	EPA0008	2	1		
28	EPA0008	60	1		
29	EPA0008	63	1		
30	EPA0008	29	1		
31	EPA0008	30	1		
32	EPA0008	33	1		
33	EPA0008	82	1		
34	EPA0008	104	1		
35	EPA0008	105	1		
36	EPA0008	122	1		
37	EPA0008	119	1		
38	EPA0008	118	1		
39	EPA0008	90	1		
40	EPA0008	157	1		
41	EPA0008	103	1		
42	EPA0008	151	1		
43	EPA0009	26	1		
44	EPA0009	53	1		
45	EPA0009	74	1		
46	EPA0009	58	1		
47	EPA0009	57	1		
48	EPA0009	6	1		
49	EPA0009	27	1		
50	EPA0009	127	1		
51	EPA0009	146	1		
52	EPA0010	128	1		
53	EPA0011	54	1		
54	EPA0012	23	9		
55	EPA0013	22	1		
56	EPA0014	28	1		
57	EPA0014	23	1		
58	EPA0014	36	1		
59	EPA0014	31	1		
60	EPA0014	118	1		
61	EPA0014	119	1		
62	EPA0014	14	1		
63	EPA0014	44	1		
64	EPA0014	15	1		
65	EPA0014	45	1		
66	EPA0014	101	1		
67	EPA0014	77	1		
68	EPA0014	62	1		
69	EPA0014	92	1		
70	EPA0014	122	1		
71	EPA0014	153	1		
72	EPA0014	8	1		
73	EPA0014	102	1		
74	EPA0014	103	1		
75	EPA0014	105	1		
76	EPA0014	99	1		
77	EPA0016	20	1		
78	EPA0016	26	1		
79	EPA0016	28	1		
80	EPA0016	65	1		
81	EPA0016	59	1		
82	EPA0016	23	1		
83	EPA0016	24	1		
84	EPA0016	31	1		
85	EPA0016	52	1		
86	EPA0016	53	1		
87	EPA0016	27	1		
88	EPA0016	122	1		
89	EPA0016	99	1		
90	EPA0016	102	1		
91	EPA0016	103	1		
92	EPA0016	150	1		
93	EPA0016	151	1		
94	EPA0016	105	1		
95	EPA0016	93	1		
96	EPA0016	96	1		
97	EPA0016	101	1		
98	EPA0016	119	1		
99	EPA0016	87	1		
100	EPA0016	86	1		
101	EPA0016	123	1		
102	EPA0016	138	1		
103	EPA0016	118	1		
104	EPA0016	104	1		
105	EPA0016	147	1		
106	EPA0016	140	1		
107	EPA0016	139	1		
108	EPA0017	50	1		
109	EPA0017	51	1		
110	EPA0018	32	1		
111	EPA0019	61	1		
112	EPA0021	75	10		
113	EPA0022	93	1		
114	EPA0022	122	1		
115	EPA0022	147	1		
116	EPA0022	102	1		
117	EPA0022	103	1		
118	EPA0022	96	1		
119	EPA0022	104	1		
120	EPA0022	105	1		
121	EPA0022	140	1		
122	EPA0022	118	1		
123	EPA0022	101	1		
124	EPA0022	119	1		
125	EPA0022	138	1		
126	EPA0022	151	1		
127	EPA0022	36	1		
128	EPA0022	139	1		
129	EPA0023	59	1		
130	EPA0023	134	1		
131	EPA0023	135	1		
132	EPA0024	93	1		
133	EPA0024	96	1		
134	EPA0024	101	1		
135	EPA0024	138	1		
136	EPA0024	139	1		
137	EPA0024	140	1		
138	EPA0024	105	1		
139	EPA0024	147	1		
140	EPA0025	73	1		
141	EPA0026	55	1		
142	EPA0026	104	1		
143	EPA0026	105	1		
144	EPA0027	5	1		
145	EPA0028	14	1		
146	EPA0028	44	1		
147	EPA0028	15	1		
148	EPA0028	45	1		
149	EPA0029	28	1		
150	EPA0029	31	1		
151	EPA0029	7	1		
152	EPA0030	25	1		
153	EPA0031	117	1		
154	EPA0031	133	1		
155	EPA0032	104	1		
156	EPA0032	105	1		
157	EPA0033	122	1		
158	EPA0033	93	1		
159	EPA0033	96	1		
160	EPA0033	139	1		
161	EPA0033	138	1		
162	EPA0033	104	1		
163	EPA0033	105	1		
164	EPA0033	128	1		
165	EPA0033	119	1		
166	EPA0033	61	1		
167	EPA0033	20	1		
168	EPA0033	102	1		
169	EPA0033	103	1		
170	EPA0033	118	1		
171	EPA0033	159	1		
172	EPA0033	151	1		
173	EPA0034	78	1		
174	EPA0035	34	1		
175	EPA0036	49	1		
176	EPA0037	80	1		
177	EPA0037	79	1		
178	EPA0037	68	1		
179	EPA0037	104	1		
180	EPA0038	117	1		
181	EPA0039	93	1		
182	EPA0039	96	1		
183	EPA0039	101	1		
184	EPA0039	140	1		
185	EPA0039	122	1		
186	EPA0039	138	1		
187	EPA0039	105	1		
188	EPA0040	65	1		
189	EPA0040	64	1		
190	EPA0040	66	1		
191	EPA0041	8	1		
192	EPA0041	62	1		
193	EPA0042	101	1		
194	EPA0042	119	1		
195	EPA0042	93	1		
196	EPA0042	138	1		
197	EPA0042	96	1		
198	EPA0042	118	1		
199	EPA0042	122	1		
200	EPA0042	104	1		
201	EPA0042	105	1		
202	EPA0042	110	1		
203	EPA0042	109	1		
204	EPA0042	111	1		
205	EPA0042	140	1		
206	EPA0042	147	1		
207	EPA0044	1	1		
208	EPA0045	129	1		
209	EPA0045	130	1		
210	EPA0045	137	1		
211	EPA0046	55	1		
212	EPA0047	92	1		
213	EPA0048	105	8		
214	EPA0048	104	8		
215	EPA0049	94	1		
216	EPA0049	95	1		
217	EPA0049	35	1		
218	EPA0050	117	1		
219	EPA0051	46	1		
220	EPA0052	39	1		
221	EPA0052	40	1		
222	EPA0053	122	1		
223	EPA0053	105	1		
224	EPA0054	119	1		
225	EPA0054	122	1		
226	EPA0054	118	1		
