assessment-organisation-standard-code,standard-name,last-date-start,start-date,end-date
1,Network Engineer,,NA,NA
2,Software Developer,,NA,NA
3,Aerospace Manufacturing Fitter,31-Mar-17,NA,NA
4,Mechatronics Maintenance Technician,31-Mar-17,NA,NA
5,Installation Electrician/Maintenance Electrician,,NA,NA
6,Power Network Craftsperson,,NA,NA
7,Relationship Manager (Banking),,NA,NA
8,Financial Services Administrator,,NA,NA
9,Control /Technical Support Engineer,,NA,NA
10,Electrical /Electronic Technical Support Engineer,,NA,NA
11,Manufacturing Engineer,,NA,NA
12,Product Design and Development Engineer,,NA,NA
13,Product Design and Development Technician,31-Mar-17,NA,NA
14,Laboratory Technician,,NA,NA
15,Science Manufacturing Technician,,NA,NA
16,Food and Drink Maintenance Engineer,,NA,NA
17,Actuarial Technician,,NA,NA
18,Dental Technician,,NA,NA
19,Dental Laboratory Assistant,,NA,NA
20,Dental Practice Manager,,NA,NA
21,Golf Greenkeeper,,NA,NA
22,Junior Journalist,,NA,NA
23,Property Maintenance Operative,,NA,NA
24,Railway Engineering Design Technician,,NA,NA
25,Digital and Technology Solutions Professional,,NA,NA
26,Dual Fuel Smart Meter Installer,,NA,NA
27,Water Process Technician,,NA,NA
28,Financial Services Customer Adviser,,NA,NA
29,Investment Operations Administrator,,NA,NA
30,Investment Operations Specialist,,NA,NA
31,Senior Financial Services Customer Adviser,,NA,NA
32,Workplace Pensions (Administrator or Consultant),,NA,NA
33,Investment Operations Technician,,NA,NA
34,Able Seafarer (Deck),,NA,NA
35,Nuclear Welding Inspection Technician,,NA,NA
36,Public Service Operational Delivery Officer,,NA,NA
37,Aerospace Engineer,,NA,NA
38,Aerospace Software Development Engineer,,NA,NA
39,Conveyancing Technician,,NA,NA
40,Licensed Conveyancer,,NA,NA
41,Chartered Legal Executive,,NA,NA
42,Paralegal,,NA,NA
43,Solicitor,,NA,NA
44,Laboratory Scientist,,NA,NA
45,Science Industry Maintenance Technician,,NA,NA
46,Nuclear Health Physics Monitor,,NA,NA
47,Nuclear Scientist and Nuclear Engineer,,NA,NA
48,Paraplanner,,NA,NA
49,Refrigeration Air Conditioning and Heat Pump Engineering Technician,,NA,NA
50,Chartered Surveyor,,NA,NA
51,Surveying Technician,,NA,NA
52,Systems Engineering Masters Level,,NA,NA
53,Utilities Engineering Technician,,NA,NA
54,Butcher,,NA,NA
55,Chartered Manager Degree Apprenticeship,,NA,NA
56,"Aerospace Manufacturing Electrical, Mechanical and Systems Fitter",31-Mar-17,NA,NA
57,Gas Network Craftsperson,,NA,NA
58,Gas Network Team Leader,,NA,NA
59,Motor Vehicle Service and Maintenance Technician (light vehicle),,NA,NA
60,Insurance Practitioner,,NA,NA
61,Dental Nurse,,NA,NA
62,Mortgage Adviser,,NA,NA
63,Insurance Professional,,NA,NA
64,Housing/Property Management Assistant,,NA,NA
65,Housing/Property Management,,NA,NA
66,Senior Housing/Property Management,,NA,NA
67,Non-destructive Testing Engineering Technician,,NA,NA
68,Junior Energy Manager,,NA,NA
69,Land-Based Service Engineer,,NA,NA
70,Land-Based Service Engineering Technician,,NA,NA
71,Live Event Rigger,,NA,NA
72,Bespoke Tailor and Cutter,,NA,NA
73,Public Sector Commercial Professional,,NA,NA
74,Gas Engineering,,NA,NA
75,Outside Broadcasting Engineer,,NA,NA
76,Boatbuilder,,NA,NA
77,Credit Controller/Collector,,NA,NA
78,Digital Marketer,,NA,NA
79,Cyber Intrusion Analyst,,NA,NA
80,Data Analyst,,NA,NA
81,Unified Communications Trouble Shooter,,NA,NA
82,Infrastructure Technician,,NA,NA
83,Junior Management Consultant,,NA,NA
84,Junior 2D Artist (visual effects),,NA,NA
85,Assistant Technical Director (visual effects),,NA,NA
86,Aviation Ground Specialist,,NA,NA
87,Aviation Ground Operative,,NA,NA
88,Rail Engineering Advanced Technician,,NA,NA
89,Rail Engineering Technician,,NA,NA
90,Rail Engineering Operative,,NA,NA
91,Software Tester,,NA,NA
92,Engineering Design and Draughtsperson,,NA,NA
93,Commis Chef,,NA,NA
94,Welding,,NA,NA
95,Welding,,NA,NA
96,Hospitality Team Member,,NA,NA
97,Machinist (Advanced Manufacturing Engineering),31-Mar-17,NA,NA
98,Cyber Security Technologist,,NA,NA
99,Healthcare Science Assistant,,NA,NA
100,Transport Planning Technician,,NA,NA
101,Retailer,,NA,NA
102,Healthcare Assistant Practitioner,,NA,NA
103,Healthcare Support Worker,,NA,NA
104,Operations/Departmental Manager,,NA,NA
105,Team Leader/Supervisor,,NA,NA
106,Papermaker,,NA,NA
107,Embedded Electronic Systems Design and Development Engineer,,NA,NA
