"","assessment_organisation_standard_code","standard_name","last_date_start","start_date","end_date"
"1","1","Network Engineer","",NA,NA
"2","2","Software Developer","",NA,NA
"3","3","Aerospace Manufacturing Fitter","31-Mar-17",NA,NA
"4","4","Mechatronics Maintenance Technician","31-Mar-17",NA,NA
"5","5","Installation Electrician/Maintenance Electrician","",NA,NA
"6","6","Power Network Craftsperson","",NA,NA
"7","7","Relationship Manager (Banking)","",NA,NA
"8","8","Financial Services Administrator","",NA,NA
"9","9","Control /Technical Support Engineer","",NA,NA
"10","10","Electrical /Electronic Technical Support Engineer","",NA,NA
"11","11","Manufacturing Engineer","",NA,NA
"12","12","Product Design and Development Engineer","",NA,NA
"13","13","Product Design and Development Technician","31-Mar-17",NA,NA
"14","14","Laboratory Technician","",NA,NA
"15","15","Science Manufacturing Technician","",NA,NA
"16","16","Food and Drink Maintenance Engineer","",NA,NA
"17","17","Actuarial Technician","",NA,NA
"18","18","Dental Technician","",NA,NA
"19","19","Dental Laboratory Assistant","",NA,NA
"20","20","Dental Practice Manager","",NA,NA
"21","21","Golf Greenkeeper","",NA,NA
"22","22","Junior Journalist","",NA,NA
"23","23","Property Maintenance Operative","",NA,NA
"24","24","Railway Engineering Design Technician","",NA,NA
"25","25","Digital and Technology Solutions Professional","",NA,NA
"26","26","Dual Fuel Smart Meter Installer","",NA,NA
"27","27","Water Process Technician","",NA,NA
"28","28","Financial Services Customer Adviser","",NA,NA
"29","29","Investment Operations Administrator","",NA,NA
"30","30","Investment Operations Specialist","",NA,NA
"31","31","Senior Financial Services Customer Adviser","",NA,NA
"32","32","Workplace Pensions (Administrator or Consultant)","",NA,NA
"33","33","Investment Operations Technician","",NA,NA
"34","34","Able Seafarer (Deck)","",NA,NA
"35","35","Nuclear Welding Inspection Technician","",NA,NA
"36","36","Public Service Operational Delivery Officer","",NA,NA
"37","37","Aerospace Engineer","",NA,NA
"38","38","Aerospace Software Development Engineer","",NA,NA
"39","39","Conveyancing Technician","",NA,NA
"40","40","Licensed Conveyancer","",NA,NA
"41","41","Chartered Legal Executive","",NA,NA
"42","42","Paralegal","",NA,NA
"43","43","Solicitor","",NA,NA
"44","44","Laboratory Scientist","",NA,NA
"45","45","Science Industry Maintenance Technician","",NA,NA
"46","46","Nuclear Health Physics Monitor","",NA,NA
"47","47","Nuclear Scientist and Nuclear Engineer","",NA,NA
"48","48","Paraplanner","",NA,NA
"49","49","Refrigeration Air Conditioning and Heat Pump Engineering Technician","",NA,NA
"50","50","Chartered Surveyor","",NA,NA
"51","51","Surveying Technician","",NA,NA
"52","52","Systems Engineering Masters Level","",NA,NA
"53","53","Utilities Engineering Technician","",NA,NA
"54","54","Butcher","",NA,NA
"55","55","Chartered Manager Degree Apprenticeship","",NA,NA
"56","56","Aerospace Manufacturing Electrical, Mechanical and Systems Fitter","31-Mar-17",NA,NA
"57","57","Gas Network Craftsperson","",NA,NA
"58","58","Gas Network Team Leader","",NA,NA
"59","59","Motor Vehicle Service and Maintenance Technician (light vehicle)","",NA,NA
"60","60","Insurance Practitioner","",NA,NA
"61","61","Dental Nurse","",NA,NA
"62","62","Mortgage Adviser","",NA,NA
"63","63","Insurance Professional","",NA,NA
"64","64","Housing/Property Management Assistant","",NA,NA
"65","65","Housing/Property Management","",NA,NA
"66","66","Senior Housing/Property Management","",NA,NA
"67","67","Non-destructive Testing Engineering Technician","",NA,NA
"68","68","Junior Energy Manager","",NA,NA
"69","69","Land-Based Service Engineer","",NA,NA
"70","70","Land-Based Service Engineering Technician","",NA,NA
"71","71","Live Event Rigger","",NA,NA
"72","72","Bespoke Tailor and Cutter","",NA,NA
