EPA_organisation_identifier	EPA_organisation (lookup auto-populated)	Standard_code	StandardName (lookup auto-populated)	Effective_from	Effective_to	Contact_name	Contact_phonenumber	Contact_email	Date standard Approved on the Register	Comments
EPA0001	BCS, The Chartered Institute for IT	79	Cyber Intrusion Analyst	30/09/2016		Matthew Piddington	01793 417417	certifications@bcs.uk	01/06/2016	
EPA0001	BCS, The Chartered Institute for IT	80	Data Analyst	30/09/2016		Matthew Piddington	01793 417417	certifications@bcs.uk	01/05/2016	
EPA0001	BCS, The Chartered Institute for IT	78	Digital Marketer	30/09/2016		Matthew Piddington	01793 417417	certifications@bcs.uk	01/05/2016	
EPA0001	BCS, The Chartered Institute for IT	82	Infrastructure Technician	30/09/2016		Matthew Piddington	01793 417417	certifications@bcs.uk	01/05/2016	
EPA0001	BCS, The Chartered Institute for IT	1	Network Engineer	31/12/2015		Matthew Piddington	01793 417417	certifications@bcs.uk	01/06/2015	
EPA0001	BCS, The Chartered Institute for IT	2	Software Developer	31/12/2015		Matthew Piddington	01793 417417	certifications@bcs.uk	01/06/2015	
EPA0001	BCS, The Chartered Institute for IT	91	Software Tester	30/09/2016		Matthew Piddington	01793 417417	certifications@bcs.uk	01/05/2016	
EPA0001	BCS, The Chartered Institute for IT	81	Unified Communications Trouble Shooter	01/04/2018		Matthew Piddington	01793 417417	certifications@bcs.uk	01/05/2016	
EPA0001	BCS, The Chartered Institute for IT	98	Cyber Security Technologist	31/03/2017		Matthew Piddington	01793 417417	certifications@bcs.uk	01/06/2016	
EPA0003	BINDT	132	Non-destructive Testing (NDT) Operator	01/09/2016		Roger Lyon	01604 893811	apprenticeships@bindt.org	01/10/2016	
EPA0003	BINDT	35	Nuclear Welding Inspection Technician	01/09/2016		Roger Lyon	01604 893811	apprenticeships@bindt.org	01/01/2016	
EPA0003	BINDT	67	Non-destructive Testing Engineering Technician	01/12/2016		Roger Lyon	01604 893811	apprenticeships@bindt.org	01/01/2016	
EPA0005	Chartered Institute of Credit Management	77	Credit Controller/Collector	31/12/2016		Tracey Turville	01780 727272	tracey.turville@cicm.com	01/04/2016	
EPA0005	Chartered Institute of Credit Management	148	Advanced Credit Controller / Debt Collection Specialist	01/07/2017		Tracey Turville	01780 727272	tracey.turville@cicm.com	01/11/2016	
EPA0007	The Chartered Institute of Legal Executives (CILEx)	41	Chartered Legal Executive	30/06/2016		Liz Kemp	01234 845706	Liz.kemp@cilex.org.uk	01/10/2015	
EPA0007	The Chartered Institute of Legal Executives (CILEx)	42	Paralegal	30/06/2016		Liz Kemp	01234 845706	Liz.kemp@cilex.org.uk	01/10/2015	
EPA0008	City and Guilds	17	Actuarial Technician	31/03/2016		Jamie Holland	0844 543 0000	apprenticeships@cityandguilds.com	01/04/2015	
EPA0008	City and Guilds	61	Dental Nurse	31/03/2017		Jamie Holland	0844 543 0000	apprenticeships@cityandguilds.com	01/04/2015	
EPA0008	City and Guilds	21	Golf Greenkeeper	31/12/2015		Jamie Holland	0844 543 0000	apprenticeships@cityandguilds.com	01/04/2015	
EPA0008	City and Guilds	59	Motor Vehicle Service and Maintenance Technician (light vehicle)	30/06/2017		Jamie Holland	0844 543 0000	apprenticeships@cityandguilds.com	01/01/2016	
EPA0008	City and Guilds	1	Network Engineer	31/03/2016		Jamie Holland	0844 543 0000	apprenticeships@cityandguilds.com	01/06/2015	
EPA0008	City and Guilds	23	Property Maintenance Operative	31/12/2015		Jamie Holland	0844 543 0000	apprenticeships@cityandguilds.com	01/04/2015	
EPA0008	City and Guilds	36	Public Service Operational Delivery Officer	30/06/2016		Jamie Holland	0844 543 0000	apprenticeships@cityandguilds.com	01/11/2015	
